rank,feature,importance
1,Dept_92,0.10500120561629232
2,Dept_95,0.09053723926050398
3,Size,0.0889702837393533
4,Year,0.06825045439432566
5,CPI,0.06723399564717604
6,Dept_38,0.06622704940830473
7,Dept_72,0.04030358526964455
8,Dept_90,0.037050954026470795
9,Dept_40,0.037034975546607896
10,Dept_2,0.035538571026311125
11,Week,0.031531093209147425
12,Dept_91,0.020815041477074983
13,Unemployment,0.01938509316793186
14,Temperature,0.016652068394597742
15,Dept_94,0.016451523694637676
16,Store_10,0.015688432979987975
17,Dept_13,0.015246408402856047
18,Dept_8,0.014917589923715929
19,Dept_93,0.011469026080179412
20,Month,0.010036492926959911
21,Dept_7,0.009867531538558464
22,Dept_4,0.00980035106217088
23,IsHoliday,0.007526173117231357
24,Dept_23,0.007339203514420918
25,Dept_79,0.007111248604039962
26,Dept_5,0.006992535957428064
27,Store_20,0.006955188368926166
28,Store_1,0.006853144420276397
29,MarkDown,0.006565750268836398
30,Dept_9,0.006417059320362478
31,Fuel_Price,0.0061937522717132884
32,Dept_46,0.0058590905635033394
33,Store_14,0.005627819182638216
34,Dept_1,0.005149881354501136
35,Dept_10,0.005149386986965889
36,Store_4,0.003838844850352705
37,Store_2,0.003563719493359582
38,Dept_81,0.0030950825257661115
39,Dept_87,0.0030404095151026302
40,Dept_82,0.002996472136002893
41,Dept_11,0.0029367076240658973
42,Dept_97,0.0029285752365305396
43,Dept_14,0.002923664732108161
44,Dept_16,0.00281781265568803
45,Dept_96,0.0026952122632428015
46,Store_11,0.0026544014093201843
47,Dept_74,0.0026305778918485736
48,Dept_34,0.002474476204788638
49,Store_6,0.002400114380314139
50,Store_42,0.0021205770707931598
51,Store_3,0.002109093466021186
52,Dept_80,0.0020749720246388994
53,Dept_3,0.0019783129489044948
54,Store_31,0.001929467340843471
55,Store_15,0.0018419519787232711
56,Store_43,0.0017584891465473487
57,Store_27,0.0017582781037578815
58,Store_23,0.0017105748804294063
59,Store_26,0.001593589083517713
60,Dept_17,0.001445407825662845
61,Store_32,0.001295496126636303
62,Store_36,0.0012583976256526068
63,Store_33,0.001242293490746559
64,Dept_22,0.0011813158533287402
65,Dept_55,0.0011737787370295605
66,Store_24,0.0011680292459993172
67,Store_35,0.001128785665770668
68,Dept_65,0.0010654280542163502
69,Dept_25,0.0010611971207531298
70,Store_40,0.0008383179486175857
71,Store_17,0.0007970068366484714
72,Store_22,0.0007304437972171082
73,Store_19,0.0007247741762686288
74,Store_13,0.0006933098207912189
75,Store_9,0.0006615847882288056
76,Dept_67,0.0006075504337969681
77,Store_8,0.0006058767279559042
78,Store_37,0.0005568712342124933
79,Dept_98,0.0005466418033898607
80,Store_21,0.0005276384513279722
81,Dept_26,0.0005216360499468016
82,Dept_18,0.0005083164758238598
83,Store_45,0.0005029467210354345
84,Dept_49,0.0004968936182456581
85,Store_28,0.0004873643267216501
86,Store_18,0.0004664404038619417
87,Dept_32,0.00043594575871574363
88,Store_41,0.00040657620420850554
89,Store_39,0.00035705864246675395
90,Dept_33,0.00028121327059147603
91,Dept_24,0.00027942153858334624
92,Dept_42,0.0002726305616692672
93,Dept_20,0.00027053002611776133
94,Dept_21,0.0002608636702195319
95,Dept_29,0.00025947493095152885
96,Store_7,0.0002589720875734947
97,Dept_71,0.000237496975561063
98,Store_25,0.0002263372215227726
99,Dept_6,0.00020819394497755735
100,Store_29,0.00019564635855363609
101,Dept_12,0.0001794097771349908
102,Store_44,0.00017620516384864401
103,Store_34,0.00015995875397930415
104,Dept_44,0.00015582982752220442
105,Store_38,0.0001544207887592541
106,Store_12,0.0001337746714726233
107,Dept_83,0.00012846959388537627
108,Dept_56,0.0001230630290155336
109,Dept_30,0.00012130861918195786
110,Store_30,0.0001063256208120197
111,Dept_54,9.245545842620397e-05
112,Dept_58,8.783919889981986e-05
113,Dept_41,5.894171183338262e-05
114,Dept_60,5.788040227360409e-05
115,Dept_59,5.238682788046296e-05
116,Dept_35,4.957833760929779e-05
117,Dept_28,4.5774344310866635e-05
118,Dept_45,2.856815804410727e-05
119,Dept_31,2.7332656003896853e-05
120,Dept_85,2.464151557165218e-05
121,Dept_51,2.393431545786942e-05
122,Dept_36,2.0484205096149603e-05
123,Store_5,1.787032089337211e-05
124,Store_16,1.4774381664734603e-05
125,Dept_52,1.3755927648673347e-05
126,Dept_19,1.345928140237341e-05
127,Dept_50,1.2094989352763553e-05
128,Dept_99,1.1535010467744353e-05
129,Dept_37,1.1417720321673136e-05
130,Dept_27,1.038416480195912e-05
131,Dept_48,8.5293991820878e-06
132,Dept_47,6.770695755009477e-06
133,Dept_78,3.921119177965972e-06
134,Dept_77,1.7282530828051022e-06
135,Dept_39,4.0785257876548636e-07
136,Dept_43,8.56687319135154e-08
